Year,SP.POP.TOTL
1960,45138458.0
1961,46063563.0
1962,47029822.0
1963,48032934.0
1964,49066760.0
1965,50127921.0
1966,51217973.0
1967,52342233.0
1968,53506196.0
1969,54717039.0
1970,55982144.0
1971,57296983.0
1972,58665808.0
1973,60114625.0
1974,61677177.0
1975,63374298.0
1976,65221378.0
1977,67203128.0
1978,69271917.0
1979,71361131.0
1980,73423633.0
1981,75440502.0
1982,77427546.0
1983,79414840.0
1984,81448755.0
1985,83562785.0
1986,85766399.0
1987,88048032.0
1988,90395271.0
1989,92788027.0
1990,95212450.0
1991,97667632.0
1992,100161710.0
1993,102700753.0
1994,105293700.0
1995,107948335.0
1996,110668794.0
1997,113457663.0
1998,116319759.0
1999,119260063.0
2000,122283850.0
2001,125394046.0
2002,128596076.0
2003,131900631.0
2004,135320422.0
2005,138865016.0
2006,142538308.0
2007,146339977.0
2008,150269623.0
2009,154324933.0
2010,158503197.0
2011,162805071.0
2012,167228767.0
2013,171765769.0
2014,176404902.0
2015,181137448.0
2016,185960289.0
2017,190873311.0
2018,195874740.0
2019,200963599.0
